,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,,NOTES – use \n for newline,max length
mcm_rule_infinite_spells,UNLIMITED SPELL USES,БЕСКОНЕЧНЫЕ ЗАРЯДЫ,USOS ILIMITADOS,USOS ILIMITADOS,UNBEGRENZTE ZAUBER,SORTS ILLIMITÉS,USI ILLIMITATI,NIELIMITOWANE UŻYCIA,无限法术次数,呪文使用回数無制限,주문 사용 횟수 무제한,,,
mcm_rule_infinite_spells_desc,Spells with limited charges stop consuming uses,Заклинания с ограниченными зарядами перестают тратить использования,Feitiços limitados não gastam usos,Los hechizos limitados no gastan usos,Begrenzte Zauber verbrauchen keine Ladungen,Les sorts limités ne consomment plus de charges,Gli incantesimi limitati non consumano cariche,Zaklęcia nie zużywają ładunków,有限次数法术不再消耗,回数制限のある呪文を消費しない,제한 주문 횟수를 소비하지 않음,,,
mcm_rule_reveal_world,REVEAL FOG OF WAR,ОТКРЫТЬ ТУМАН ВОЙНЫ,REVELAR MAPA,REVELAR MAPA,KARTE AUFDECKEN,RÉVÉLER LA CARTE,RIVELA MAPPA,ODKRYJ MAPĘ,揭开战争迷雾,マップを開く,전장의 안개 해제,,,
mcm_rule_reveal_world_desc,Open fog of war across the world,Открывает туман войны во всём мире,Revela a névoa do mundo,Revela la niebla del mundo,Deckt den Nebel der Welt auf,Révèle le brouillard du monde,Rivela la nebbia del mondo,Odkrywa mgłę świata,揭开世界迷雾,世界の未探索領域を開く,세계의 안개를 해제,,,
mcm_rules_reset,RESET,СБРОСИТЬ,REDEFINIR,RESTABLECER,ZURÜCKSETZEN,RÉINITIALISER,RIPRISTINA,RESETUJ,重置,リセット,초기화,,,
mcm_possess_no_target,No creature under cursor,Под курсором нет существа,Nenhuma criatura sob o cursor,No hay criatura bajo el cursor,Keine Kreatur unter dem Cursor,Aucune créature sous le curseur,Nessuna creatura sotto il cursore,Brak stworzenia pod kursorem,光标下没有生物,カーソル下にクリーチャーがいません,커서 아래에 생물이 없습니다,,,
mcm_possess_failed,Could not possess creature,Не удалось вселиться в существо,Não foi possível possuir a criatura,No se pudo poseer la criatura,Kreatur konnte nicht übernommen werden,Impossible de posséder la créature,Impossibile possedere la creatura,Nie udało się przejąć stworzenia,无法附身生物,クリーチャーに憑依できませんでした,생물에 빙의하지 못했습니다,,,
mcm_rule_relations,CREATURE RELATIONS,ОТНОШЕНИЯ СУЩЕСТВ,RELAÇÕES DAS CRIATURAS,RELACIONES DE CRIATURAS,KREATUREN-BEZIEHUNGEN,RELATIONS DES CRÉATURES,RELAZIONI CREATURE,RELACJE STWORZEŃ,生物关系,クリーチャー関係,생물 관계,,,
mcm_rule_relations_desc,Global herd-relation bias for creature hostility,Глобальный сдвиг отношений стад и враждебности существ,Ajuste global de relações e hostilidade,Ajuste global de relaciones y hostilidad,Globaler Einfluss auf Herdenbeziehungen,Biais global des relations de troupeau,Modifica globale delle relazioni dei branchi,Globalna zmiana relacji stad,全局调整族群敌对关系,群れの敵対関係を全体調整,무리 적대 관계를 전역 조정,,,
mcm_rule_native,NATIVE,КАК В ИГРЕ,NATIVO,NATIVO,STANDARD,NATIF,NATIVO,DOMYŚLNE,原版,標準,기본,,,
mcm_rule_hostile,HOSTILE,ВРАЖДЕБНО,HOSTIL,HOSTIL,FEINDLICH,HOSTILE,OSTILE,WROGO,敌对,敵対,적대,,,
mcm_rule_neutral,NO MODIFIER,БЕЗ МОДИФИКАТОРА,SEM MODIFICADOR,SIN MODIFICADOR,KEIN MODIFIKATOR,AUCUN MODIFICATEUR,NESSUN MODIFICATORE,BEZ MODYFIKATORA,无修正,補正なし,보정 없음,,,
mcm_rule_friendly,FRIENDLY,ДРУЖЕЛЮБНО,AMIGÁVEL,AMISTOSO,FREUNDLICH,AMICAL,AMICHEVOLE,PRZYJAŹNIE,友好,友好,우호,,,
mcm_rule_blood_money,TRICK-KILL BLOOD MONEY,КРОВАВЫЕ ДЕНЬГИ ЗА ТРЮКИ,DINHEIRO DE SANGUE POR TRUQUES,DINERO DE SANGRE POR TRUCOS,BLUTGELD FÜR TRICK-KILLS,ARGENT DE SANG DES TRICK KILLS,DENARO DI SANGUE DAI TRICK KILL,KRWAWE PIENIĄDZE ZA TRICK KILLE,花式击杀血钱,トリックキル血金,트릭 킬 피의 돈,,,
mcm_rule_blood_money_desc,Trick kills can drop healing blood money,Убийства трюками могут ронять лечащие кровавые деньги,Trick kills podem soltar dinheiro de sangue curativo,Las muertes con truco pueden soltar dinero de sangre curativo,Trick-Kills können heilendes Blutgeld droppen,Les trick kills peuvent lâcher de l’argent de sang curatif,I trick kill possono lasciare denaro di sangue curativo,Trick kille mogą upuszczać leczącą krwawą walutę,花式击杀可掉落治疗血钱,トリックキルで回復用の血金が落ちる,트릭 킬이 회복용 피의 돈을 떨어뜨릴 수 있음,,,
mcm_rule_hp_drops,HEALING DROP CHANCE,ЛЕЧАЩИЕ ДРОПЫ,CHANCE DE CURA,PROB. DE CURACIÓN,HEIL-DROP-CHANCE,CHANCE DE SOIN,PROBABILITÀ CURA,SZANSA NA LECZENIE,治疗掉落几率,回復ドロップ率,회복 드롭 확률,,,
mcm_rule_hp_drops_desc,Enemy kills may drop healing blood money,Убитые враги могут ронять лечащие кровавые деньги,Inimigos podem soltar dinheiro de sangue curativo,Los enemigos pueden soltar dinero de sangre curativo,Gegner können heilendes Blutgeld droppen,Les ennemis peuvent lâcher de l’argent de sang curatif,I nemici possono lasciare denaro di sangue curativo,Wrogowie mogą upuszczać leczącą krwawą walutę,击杀敌人可掉落治疗血钱,敵撃破で回復用の血金が落ちる,적 처치 시 회복용 피의 돈 드롭 가능,,,
mcm_rule_rats_friendly,FRIENDLY RATS,ДРУЖЕЛЮБНЫЕ КРЫСЫ,RATOS AMIGÁVEIS,RATAS AMISTOSAS,FREUNDLICHE RATTEN,RATS AMICAUX,RATTI AMICHEVOLI,PRZYJAZNE SZCZURY,友好老鼠,友好的なネズミ,우호적인 쥐,,,
mcm_rule_rats_friendly_desc,Rats and the player herd stop attacking each other,Крысы и стадо игрока перестают атаковать друг друга,Ratos e o grupo do jogador não se atacam,Las ratas y el grupo del jugador no se atacan,Ratten und Spielerherde greifen sich nicht an,Les rats et le groupe du joueur ne s’attaquent plus,Ratti e branco del giocatore non si attaccano,Szczury i stado gracza nie atakują się,老鼠与玩家阵营互不攻击,ネズミとプレイヤー陣営が互いに攻撃しない,쥐와 플레이어 무리가 서로 공격하지 않음,,,
mcm_rule_gore,GORE AMOUNT,КОЛИЧЕСТВО КРОВИ,QUANTIDADE DE SANGUE,CANTIDAD DE SANGRE,BLUTMENGE,QUANTITÉ DE SANG,QUANTITÀ DI SANGUE,ILOŚĆ KRWI,血腥程度,流血量,유혈량,,,
mcm_rule_gore_desc,Multiplier for gore and blood effects,Множитель крови и кровавых эффектов,Multiplicador de sangue e efeitos gore,Multiplicador de sangre y gore,Multiplikator für Blut- und Gore-Effekte,Multiplicateur de sang et de gore,Moltiplicatore di sangue e gore,Mnożnik krwi i efektów gore,血液与血腥效果倍率,流血・ゴア表現の倍率,피와 유혈 효과 배율,,,
mcm_rule_trick_gold,TRICK-KILL GOLD,ЗОЛОТО ЗА ТРЮКИ,OURO POR TRUQUES,ORO POR TRUCOS,TRICK-KILL-GOLD,OR DES TRICK KILLS,ORO DA TRICK KILL,ZŁOTO ZA TRICK KILLE,花式击杀金币,トリックキル金額,트릭 킬 골드,,,
mcm_rule_trick_gold_desc,Gold multiplier for trick kills,Множитель золота за убийства трюками,Multiplicador de ouro por trick kill,Multiplicador de oro por muertes con truco,Goldmultiplikator für Trick-Kills,Multiplicateur d’or des trick kills,Moltiplicatore oro dei trick kill,Mnożnik złota za trick kille,花式击杀金币倍率,トリックキルのゴールド倍率,트릭 킬 골드 배율,,,
mcm_rule_damage_flash,DAMAGE FLASH,ВСПЫШКА УРОНА,FLASH DE DANO,DESTELLO DE DAÑO,SCHADENSBLITZ,FLASH DE DÉGÂTS,LAMPO DANNO,BŁYSK OBRAŻEŃ,受伤闪光,ダメージフラッシュ,피해 플래시,,,
mcm_rule_damage_flash_desc,Intensity of the screen damage flash,Интенсивность вспышки экрана при получении урона,Intensidade do flash de dano na tela,Intensidad del destello de daño,Intensität des Schadensblitzes,Intensité du flash de dégâts,Intensità del lampo da danno,Intensywność błysku obrażeń,受伤时屏幕闪光强度,被ダメージ時の画面フラッシュ強度,피해 시 화면 플래시 강도,,,
mcm_rule_value,VALUE,ЗНАЧЕНИЕ,VALOR,VALOR,WERT,VALEUR,VALORE,WARTOŚĆ,数值,値,값,,,
mcm_rule_click_cycle,LMB: next   RMB: previous,ЛКМ: дальше   ПКМ: назад,LMB: próximo   RMB: anterior,LMB: siguiente   RMB: anterior,LMB: weiter   RMB: zurück,Clic G : suivant   Clic D : précédent,LMB: avanti   RMB: indietro,LPM: dalej   PPM: wstecz,左键：下一个   右键：上一个,左クリック：次   右クリック：前,좌클릭: 다음   우클릭: 이전,,,
mcm_rule_on,ON,ВКЛ,LIGADO,ACTIVADO,AN,ACTIVÉ,ON,WŁ.,开启,ON,켜짐,,,
mcm_rule_off,OFF,ВЫКЛ,DESLIGADO,DESACTIVADO,AUS,DÉSACTIVÉ,OFF,WYŁ.,关闭,OFF,꺼짐,,,
mcm_rule_unsupported,UNSUPPORTED IN THIS BUILD,НЕ ПОДДЕРЖИВАЕТСЯ В ЭТОЙ СБОРКЕ,NÃO SUPORTADO NESTA VERSÃO,NO COMPATIBLE EN ESTA VERSIÓN,IN DIESER VERSION NICHT VERFÜGBAR,NON PRIS EN CHARGE DANS CETTE VERSION,NON SUPPORTATO IN QUESTA VERSIONE,NIEOBSŁUGIWANE W TEJ WERSJI,此版本不支持,このビルドでは未対応,이 빌드에서 지원 안 됨,,,
mcm_rule_stain_drop,STAIN SHEDDING,СБРАСЫВАНИЕ ПЯТЕН,PERDA DE MANCHAS,PÉRDIDA DE MANCHAS,FLECKENABWURF,PERTE DES TACHES,PERDITA MACCHIE,ZRZUCANIE PLAM,污渍脱落,汚れの脱落,얼룩 제거,,,
mcm_rule_stain_drop_desc,Multiplier for how quickly stains are shaken off,Множитель скорости сбрасывания пятен с сущностей,Multiplica a velocidade de remoção de manchas,Multiplica la velocidad de pérdida de manchas,Multiplikator für das Abschütteln von Flecken,Multiplicateur de perte des taches,Moltiplica la velocità di perdita delle macchie,Mnożnik szybkości zrzucania plam,实体甩落污渍的速度倍率,汚れが落ちる速さの倍率,얼룩이 떨어지는 속도 배율,,,
mcm_rule_physics_gravity,WORLD GRAVITY,ГРАВИТАЦИЯ МИРА,GRAVIDADE DO MUNDO,GRAVEDAD DEL MUNDO,WELTGRAVITATION,GRAVITÉ DU MONDE,GRAVITÀ DEL MONDO,GRAWITACJA ŚWIATA,世界重力,ワールド重力,세계 중력,,,
mcm_rule_physics_gravity_desc,Gravity multiplier for loaded creatures and physics bodies,Множитель гравитации загруженных существ и физических тел,Multiplicador de gravidade de criaturas e corpos físicos,Multiplicador de gravedad de criaturas y cuerpos físicos,Gravitationsfaktor für geladene Kreaturen und Physikobjekte,Multiplicateur de gravité des créatures et corps chargés,Moltiplicatore gravità per creature e corpi caricati,Mnożnik grawitacji stworzeń i obiektów fizycznych,已加载生物和物理物体的重力倍率,読み込み済み生物・物理物体の重力倍率,로드된 생물과 물리 물체의 중력 배율,,,
mcm_rule_physics_damping,PHYSICS DAMPING,ФИЗИЧЕСКОЕ ЗАТУХАНИЕ,AMORTECIMENTO FÍSICO,AMORTIGUACIÓN FÍSICA,PHYSIK-DÄMPFUNG,AMORTISSEMENT PHYSIQUE,SMORZAMENTO FISICO,TŁUMIENIE FIZYKI,物理阻尼,物理減衰,물리 감쇠,,,
mcm_rule_physics_damping_desc,Linear and angular damping multiplier for loaded physics bodies,Множитель линейного и углового затухания физических тел,Multiplica amortecimento linear e angular,Multiplica amortiguación lineal y angular,Faktor für lineare und Winkel-Dämpfung,Multiplicateur d’amortissement linéaire et angulaire,Moltiplica smorzamento lineare e angolare,Mnożnik tłumienia liniowego i kątowego,物理物体线性与角阻尼倍率,物理物体の線形・角減衰倍率,물리 물체 선형/각 감쇠 배율,,,
mcm_rule_blood_amount,BLOOD VOLUME,ОБЪЁМ КРОВИ,VOLUME DE SANGUE,VOLUMEN DE SANGRE,BLUTVOLUMEN,VOLUME DE SANG,VOLUME DEL SANGUE,ILOŚĆ KRWI,血液量,血液量,피의 양,,,
mcm_rule_blood_amount_desc,Changes blood emitted by damage without changing ragdoll or corpse physics.,Меняет количество крови от полученного урона без изменения физики рэгдоллов и трупов.,Altera limites reais de sangue e sangue de ragdolls,Cambia límites reales de sangre y sangre de ragdolls,Ändert echte Blutlimits und Ragdoll-Blutmenge,Change les limites réelles de sang et le sang des ragdolls,Cambia i limiti reali del sangue e quello dei ragdoll,Zmienia limity krwi i ilość krwi ragdolli,修改实际出血上限和布娃娃血量,実際の出血上限とラグドールの血量を変更,실제 출혈 한도와 래그돌 피 양 변경,,,
mcm_rule_kick_force,KICK FORCE,СИЛА ПИНКА,FORÇA DO CHUTE,FUERZA DE PATADA,TRITTKRAFT,FORCE DU COUP DE PIED,FORZA DEL CALCIO,SIŁA KOPNIĘCIA,踢击力量,キック力,발차기 힘,,,
mcm_rule_kick_force_desc,Global player kick-force multiplier,Глобальный множитель силы пинка игрока,Multiplicador global da força do chute,Multiplicador global de fuerza de patada,Globaler Multiplikator der Trittkraft,Multiplicateur global de la force du coup de pied,Moltiplicatore globale della forza del calcio,Globalny mnożnik siły kopnięcia,玩家踢击力量全局倍率,プレイヤーのキック力倍率,플레이어 발차기 힘 배율,,,
mcm_rule_joint_strength,JOINT STRENGTH,ПРОЧНОСТЬ СОЕДИНЕНИЙ,FORÇA DAS JUNTAS,RESISTENCIA DE UNIONES,GELENKSTÄRKE,SOLIDITÉ DES JOINTS,FORZA DEI GIUNTI,SIŁA POŁĄCZEŃ,关节强度,ジョイント強度,관절 강도,,,
mcm_rule_joint_strength_desc,Physics joint maximum-force multiplier,Множитель максимальной силы физических соединений,Multiplicador da força máxima das juntas,Multiplicador de fuerza máxima de uniones físicas,Multiplikator der maximalen Gelenkkraft,Multiplicateur de force maximale des joints physiques,Moltiplicatore della forza massima dei giunti,Mnożnik maksymalnej siły połączeń fizycznych,物理关节最大受力倍率,物理ジョイントの最大力倍率,물리 관절 최대 힘 배율,,,
mcm_rule_day_speed,DAY CYCLE SPEED,СКОРОСТЬ СУТОК,VELOCIDADE DO DIA,VELOCIDAD DEL DÍA,TAGESZYKLUS,VITESSE DU CYCLE JOUR,VELOCITÀ DEL GIORNO,SZYBKOŚĆ DOBY,昼夜循环速度,昼夜サイクル速度,낮밤 주기 속도,,,
mcm_rule_day_speed_desc,Multiplier for the natural day-night cycle speed,Множитель естественной скорости смены дня и ночи,Multiplica a velocidade natural do ciclo dia/noite,Multiplica la velocidad natural del ciclo día/noche,Faktor für die natürliche Tag-Nacht-Geschwindigkeit,Multiplicateur de vitesse naturelle jour/nuit,Moltiplica la velocità naturale giorno/notte,Mnożnik naturalnej prędkości dnia i nocy,自然昼夜循环速度倍率,自然な昼夜サイクル速度倍率,자연 낮밤 주기 속도 배율,,,
mcm_setting_possession_key,POSSESSION KEY,КЛАВИША ВСЕЛЕНИЯ,TECLA DE POSSESSÃO,TECLA DE POSESIÓN,BESITZERGREIFUNGS-TASTE,TOUCHE DE POSSESSION,TASTO POSSESSIONE,KLAWISZ OPĘTANIA,附身按键,憑依キー,빙의 키,,,
mcm_mobs_mode_play,PLAY,ИГРА,JOGAR,JUGAR,SPIELEN,JOUER,GIOCA,GRAJ,游玩,プレイ,플레이,,,
mcm_mobs_mode_log_retest,LOG RETEST,ЛОГ: ПОВТОР,LOG RETESTE,REG. REPRUEBA,LOG RETEST,LOG RETEST,LOG RITEST,LOG TESTUJ,记录复测,再テストログ,재검사 기록,,,
mcm_mobs_review_help,REVIEW: click a mob to log its exact path; no transform/spawn occurs,"ПРОВЕРКА: нажмите моба, чтобы записать точный путь в лог; спавн и превращение не выполняются",REVISÃO: clique num mob para registrar o caminho exato; sem spawn/transformação,REVISIÓN: pulsa un mob para registrar su ruta exacta; no se genera ni transforma,"PRÜFUNG: Mob anklicken, um den exakten Pfad zu protokollieren; kein Spawn/Verwandeln",REVUE : cliquez sur un mob pour journaliser son chemin exact ; aucun spawn/transformation,REVISIONE: clicca un mob per registrare il percorso esatto; nessuno spawn/trasformazione,"PRZEGLĄD: kliknij moba, aby zapisać dokładną ścieżkę; bez spawnu/przemiany",审查：点击生物以记录精确路径；不会生成或变形,確認: モブをクリックして正確なパスをログ記録。スポーン/変身はしません,검토: 몹을 클릭해 정확한 경로를 기록합니다. 소환/변신은 하지 않습니다,,,
mcm_mobs_review_click,CLICK: log,КЛИК: записать,CLIQUE: registrar,CLIC: registrar,KLICK: loggen,CLIC : journaliser,CLIC: registra,KLIK: zapisz,点击：记录,クリック: 記録,클릭: 기록,,,
mcm_mobs_marked,MARKED,ОТМЕЧЕНО,MARCADO,MARCADO,MARKIERT,MARQUÉ,SEGNATO,OZNACZONO,已标记,マーク済み,표시됨,,,
mcm_mobs_showing,SHOWING,ПОКАЗАНО,MOSTRANDO,MOSTRANDO,ANZEIGE,AFFICHÉS,VISUALIZZATI,POKAZANO,显示,表示,표시,,,
mcm_mobs_review_logged,MOBS REVIEW,ПРОВЕРКА МОБОВ,REVISÃO MOBS,REVISIÓN MOBS,MOBS-PRÜFUNG,REVUE MOBS,REVISIONE MOBS,PRZEGLĄD MOBÓW,生物审查,モブ確認,몹 검토,,,
mcm_mobs_mode_log_safe,LOG SAFE,ЛОГ: РАБОТАЕТ,LOG SEGURO,REG. SEGURO,LOG SICHER,LOG SÛR,LOG SICURO,LOG DZIAŁA,记录安全,安全ログ,안전 기록,,,
mcm_mobs_mode_log_unsafe,LOG UNSAFE,ЛОГ: НЕ РАБОТАЕТ,LOG INSEGURO,REG. INSEGURO,LOG UNSICHER,LOG RISQUÉ,LOG NON SICURO,LOG NIE DZIAŁA,记录不安全,危険ログ,위험 기록,,,
mcm_mobs_scanning,SCANNING...,ПРОВЕРКА...,A VERIFICAR...,ESCANEANDO...,PRÜFUNG...,ANALYSE...,ANALISI...,SKANOWANIE...,扫描中...,スキャン中...,스캔 중...,,,
mcm_perk_apply_failed,Could not apply perk,Не удалось применить перк,Não foi possível aplicar o benefício,No se pudo aplicar el perk,Perk konnte nicht angewendet werden,Impossible d’appliquer l’atout,Impossibile applicare il perk,Nie udało się zastosować perka,无法应用天赋,パークを適用できませんでした,퍽을 적용하지 못했습니다,,,
mcm_weather_unavailable,Weather editing unavailable,Редактирование погоды недоступно,Edição do clima indisponível,La edición del clima no está disponible,Wetterbearbeitung nicht verfügbar,Modification de la météo indisponible,Modifica del meteo non disponibile,Edycja pogody jest niedostępna,天气编辑不可用,天候編集を利用できません,날씨 편집을 사용할 수 없습니다,,,
mcm_rules_unavailable,World-rule editing unavailable,Редактирование правил мира недоступно,Edição das regras do mundo indisponível,La edición de reglas del mundo no está disponible,Weltregel-Bearbeitung nicht verfügbar,Modification des règles du monde indisponible,Modifica delle regole del mondo non disponibile,Edycja zasad świata jest niedostępna,世界规则编辑不可用,ワールドルール編集を利用できません,세계 규칙 편집을 사용할 수 없습니다,,,
mcm_rules_error,RULE ERROR,ОШИБКА ПРАВИЛА,ERRO DE REGRA,ERROR DE REGLA,REGELFEHLER,ERREUR DE RÈGLE,ERRORE REGOLA,BŁĄD ZASADY,规则错误,ルールエラー,규칙 오류,,,
mcm_tab_materials,MATERIALS,МАТЕРИАЛЫ,MATERIAIS,MATERIALES,MATERIALIEN,MATÉRIAUX,MATERIALI,MATERIAŁY,材料,マテリアル,재료,,,
mcm_material_filter_all,ALL,ВСЕ,TODOS,TODOS,ALLE,TOUS,TUTTI,WSZYSTKIE,全部,すべて,전체,,,
mcm_material_filter_liquids,LIQUIDS,ЖИДКОСТИ,LÍQUIDOS,LÍQUIDOS,FLÜSSIGKEITEN,LIQUIDES,LIQUIDI,CIECZE,液体,液体,액체,,,
mcm_material_filter_sands,POWDERS,ПОРОШКИ,PÓS,POLVOS,PULVER,POUDRES,POLVERI,PROSZKI,粉末,粉末,가루,,,
mcm_material_filter_gases,GASES,ГАЗЫ,GASES,GASES,GASE,GAZ,GAS,GAZY,气体,気体,기체,,,
mcm_material_filter_fires,FIRES,ОГОНЬ,FOGOS,FUEGOS,FEUER,FEUX,FUOCHI,OGIEŃ,火焰,火,불,,,
mcm_material_filter_solids,SOLIDS,ТВЁРДЫЕ,SÓLIDOS,SÓLIDOS,FESTSTOFFE,SOLIDES,SOLIDI,CIAŁA STAŁE,固体,固体,고체,,,
mcm_materials_failed,Material catalog failed to load,Не удалось загрузить каталог материалов,Falha ao carregar o catálogo de materiais,No se pudo cargar el catálogo de materiales,Materialkatalog konnte nicht geladen werden,Échec du chargement du catalogue de matériaux,Impossibile caricare il catalogo dei materiali,Nie udało się wczytać katalogu materiałów,材料目录加载失败,マテリアル一覧を読み込めませんでした,재료 목록을 불러오지 못했습니다,,,
mcm_material_brush,BRUSH,КИСТЬ,PINCEL,PINCEL,PINSEL,PINCEAU,PENNELLO,PĘDZEL,画笔,ブラシ,브러시,,,
mcm_material_selected,Selected,Выбрано,Selecionado,Seleccionado,Ausgewählt,Sélectionné,Selezionato,Wybrano,已选择,選択中,선택됨,,,
mcm_material_loading,Loading materials...,Загрузка материалов...,Carregando materiais...,Cargando materiales...,Materialien werden geladen...,Chargement des matériaux...,Caricamento materiali...,Wczytywanie materiałów...,正在加载材料...,マテリアルを読み込み中...,재료 불러오는 중...,,,
mcm_material_paint_start,START PAINTING,НАЧАТЬ РИСОВАНИЕ,COMEÇAR A PINTAR,EMPEZAR A PINTAR,MALEN STARTEN,COMMENCER À PEINDRE,INIZIA A DIPINGERE,ZACZNIJ MALOWAĆ,开始绘制,描画開始,그리기 시작,,,
mcm_material_paint_cancel,CANCEL PAINT,ОТМЕНИТЬ РИСОВАНИЕ,CANCELAR PINTURA,CANCELAR PINTURA,MALEN ABBRECHEN,ANNULER LA PEINTURE,ANNULLA PITTURA,ANULUJ MALOWANIE,取消绘制,描画を中止,그리기 취소,,,

mcm_tab_players,TELEPORTATION,ТЕЛЕПОРТАЦИЯ,TELETRANSPORTE,TELETRANSPORTE,TELEPORTATION,TÉLÉPORTATION,TELETRASPORTO,TELEPORTACJA,传送,テレポート,순간이동,,,
mcm_tab_controls,CONTROLS,УПРАВЛЕНИЕ,CONTROLES,CONTROLES,STEUERUNG,COMMANDES,COMANDI,STEROWANIE,控制,操作,조작,,,
mcm_bind_section_interface,INTERFACE,ИНТЕРФЕЙС,INTERFACE,INTERFAZ,BENUTZEROBERFLÄCHE,INTERFACE,INTERFACCIA,INTERFEJS,界面,インターフェース,인터페이스,,,
mcm_bind_section_sections,OPEN SECTION,ОТКРЫТИЕ РАЗДЕЛОВ,ABRIR SEÇÃO,ABRIR SECCIÓN,BEREICH ÖFFNEN,OUVRIR UNE SECTION,APRI SEZIONE,OTWÓRZ SEKCJĘ,打开页面,セクションを開く,섹션 열기,,,
mcm_bind_section_gameplay,GAMEPLAY,ИГРОВЫЕ ДЕЙСТВИЯ,JOGABILIDADE,JUGABILIDAD,SPIELAKTIONEN,ACTIONS DE JEU,AZIONI DI GIOCO,ROZGRYWKA,游戏操作,ゲーム操作,게임 플레이,,,
mcm_bind_section_world,WORLD TOOLS,ИНСТРУМЕНТЫ МИРА,FERRAMENTAS DO MUNDO,HERRAMIENTAS DEL MUNDO,WELTWERKZEUGE,OUTILS DU MONDE,STRUMENTI DEL MONDO,NARZĘDZIA ŚWIATA,世界工具,ワールドツール,월드 도구,,,
mcm_bind_menu_toggle,Open / close creative menu,Открыть / закрыть творческое меню,Abrir / fechar menu criativo,Abrir / cerrar menú creativo,Kreativmenü öffnen / schließen,Ouvrir / fermer le menu créatif,Apri / chiudi menu creativo,Otwórz / zamknij menu kreatywne,打开/关闭创意菜单,クリエイティブメニューを開閉,크리에이티브 메뉴 열기/닫기,,,
mcm_bind_menu_close,Close creative menu,Закрыть творческое меню,Fechar menu criativo,Cerrar menú creativo,Kreativmenü schließen,Fermer le menu créatif,Chiudi menu creativo,Zamknij menu kreatywne,关闭创意菜单,クリエイティブメニューを閉じる,크리에이티브 메뉴 닫기,,,
mcm_bind_tab_previous,Previous section,Предыдущий раздел,Seção anterior,Sección anterior,Vorheriger Bereich,Section précédente,Sezione precedente,Poprzednia sekcja,上一页,前のセクション,이전 섹션,,,
mcm_bind_tab_next,Next section,Следующий раздел,Próxima seção,Siguiente sección,Nächster Bereich,Section suivante,Sezione successiva,Następna sekcja,下一页,次のセクション,다음 섹션,,,
mcm_bind_return_human,Return to human form,Вернуться в человеческую форму,Voltar à forma humana,Volver a forma humana,Zur Menschenform zurückkehren,Revenir à la forme humaine,Torna alla forma umana,Wróć do ludzkiej postaci,恢复人类形态,人間形態に戻る,인간 형태로 돌아가기,,,
mcm_bind_paint_toggle,Start / stop material painting,Включить / выключить рисование материалом,Iniciar / parar pintura de material,Iniciar / detener pintura de material,Materialmalen starten / stoppen,Démarrer / arrêter la peinture de matériau,Avvia / arresta pittura materiale,Włącz / wyłącz malowanie materiałem,开始/停止材料绘制,マテリアル描画を開始/停止,재료 그리기 시작/중지,,,
mcm_bind_paint_draw,Draw selected material,Рисовать выбранным материалом,Desenhar material selecionado,Dibujar material seleccionado,Ausgewähltes Material malen,Peindre le matériau sélectionné,Disegna materiale selezionato,Rysuj wybranym materiałem,绘制所选材料,選択したマテリアルを描画,선택한 재료 그리기,,,
mcm_bind_brush_smaller,Smaller material brush,Уменьшить кисть материалов,Diminuir pincel de material,Reducir pincel de material,Materialpinsel verkleinern,Réduire le pinceau de matériau,Riduci pennello materiale,Zmniejsz pędzel materiału,缩小材料画笔,マテリアルブラシを小さく,재료 브러시 줄이기,,,
mcm_bind_brush_larger,Larger material brush,Увеличить кисть материалов,Aumentar pincel de material,Aumentar pincel de material,Materialpinsel vergrößern,Agrandir le pinceau de matériau,Ingrandisci pennello materiale,Powiększ pędzel materiału,放大材料画笔,マテリアルブラシを大きく,재료 브러시 키우기,,,
mcm_bind_teleport_next,Teleport to next network player,Телепортироваться к следующему сетевому игроку,Teletransportar ao próximo jogador,Teletransportarse al siguiente jugador,Zum nächsten Netzwerkspieler teleportieren,Se téléporter au joueur réseau suivant,Teletrasportati al prossimo giocatore,Teleportuj do następnego gracza sieciowego,传送到下一名网络玩家,次のネットワークプレイヤーへテレポート,다음 네트워크 플레이어에게 순간이동,,,
mcm_controls_hint,Click a binding then press a key or mouse button. Modifiers are supported.,Нажмите на назначение и затем клавишу или кнопку мыши. Модификаторы поддерживаются.,Clique em um atalho e pressione uma tecla ou botão do mouse. Modificadores são aceitos.,Pulsa una asignación y después una tecla o botón del ratón. Se admiten modificadores.,Belegung anklicken und dann eine Tastatur- oder Maustaste drücken. Modifikatoren werden unterstützt.,Cliquez sur une attribution puis appuyez sur une touche clavier ou souris. Les modificateurs sont pris en charge.,Fai clic su un comando e premi un tasto o un pulsante del mouse. I modificatori sono supportati.,Kliknij przypisanie i naciśnij klawisz lub przycisk myszy. Modyfikatory są obsługiwane.,点击绑定后按键盘键或鼠标按钮。支持组合键。,割り当てをクリックしてキーまたはマウスボタンを押します。修飾キーも使用できます。,바인딩을 클릭한 뒤 키보드 키나 마우스 버튼을 누르세요. 조합 키를 지원합니다.,,,
